tag	class	mesh	cnt_tex1	tex1[0]	tex1[1]	tex1[2]	tex1[3]	tex1[4]	tex1[5]	tex1[6]	cnt_tex2	tex1[0]	tex1[1]	cnt_dtab1	dtab1[0]	dtab1[1]	dtab1[2]	dtab1[3]	dtab1[4]	dtab1[5]	dtab1[6]	dtab1[7]	dtab1[8]	dtab1[9]	dtab1[10]	dtab1[11]	dtab1[12]	dtab1[13]	dtab1[14]	dtab1[15]	dtab1[16]	dtab1[17]	dtab1[18]	dtab1[19]	dtab1[20]	dtab1[21]	dtab1[22]	dtab1[23]	npc_speed	unk0_cnt	unk0_tab	cnt_snd1	snd1[0]	snd1[1]	snd1[2]	cnt_snd2	snd2[0]	snd2[1]	snd2[2]	snd2[3]	snd2[4]	cnt_snd3	snd3[0]	snd3[1]	snd3[2]	snd3[3]	snd3[4]	rb_effect_on	rb_effect_1	rb_effect_fl_1	rb_effect_2	rb_effect_fl_2	rb_effect_3	rb_effect_fl_3	rb_effect_4	rb_effect_fl_4	rb_effect_5	rb_effect_fl_5	unk1_cnt	unk1_tab[0]	unk1_tab[1]	unk1_tab[2]	unk1_tab[3]	unk1_tab[4]	unk1_tab[5]	unk1_tab[6]	unk1_tab[7]	unk1_tab[8]	unk1_tab[9]	unk1_tab[10]	unk1_tab[11]	unk1_tab[12]	unk1_tab[13]	unk1_tab[14]	unk1_tab[15]	unk1_tab[16]	unk1_tab[17]	unk1_tab[18]	unk1_tab[19]	unk1_tab[20]	unk1_tab[21]	unk1_tab[22]	unk2_cnt	unk2_tab[0]	unk2_tab[1]	unk2_tab[2]	unk2_tab[3]	unk2_tab[4]	unk2_tab[5]	unk2_tab[6]	unk2_tab[7]	unk2_tab[8]	unk2_tab[9]	unk2_tab[10]	unk2_tab[11]	unk2_tab[12]	unk2_tab[13]	unk2_tab[14]	unk2_tab[15]	unk2_tab[16]	unk2_tab[17]	unk2_tab[18]	unk2_tab[19]	unk2_tab[20]	unk2_tab[21]	unk2_tab[22]	effect	UNK_3	sound_rad	sound_vol	sound_rnd	quest_be	class_lim_?	npcend_cnt	npcend[0]	npcend[1]	npcend[2]	npcend[3]	npcend[4]	npcend[5]	npcend[6]	npcend[7]	unk1[0]	unk1[1]	unk1[2]	unk1[3]	UnknownFloat	Unknown_item	icon	UNK2[0]	UNK2[1]	UNK2[2]	UNK2[3]	UNK2[4]	UNK2[5]	UNK2[6]	UNK2[7]	UNK2[8]	UNK2[9]	UNK2[10]	UNK2[11]	UNK2[12]	UNK3[0]	UNK3[1]	UNK3[2]	UNK3[3]	UNK3[4]	Unknown_int
1513	LineageNpc2.br_agathion_bat	Branch.br_agathion_bat_m00	1	BranchSys.Agathion2.br_bat_t00							0			1	0																								0.89999998	0		0				4	MonSound.Hit_normal_3	MonSound.Hit_Wet_1	MonSound.Hit_Bone_2	MonSound.Hit_normal_12		0						0											0																								0																								LineageEffect.p_u002_a	0	30.00000000	250.00000000	30.00000000	0	0	0									0	0	0	0	-1.00000000	0	a,	0.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	5.00000000	5.00000000	5.50000000	5.50000000	0	0	0	1673	889	-1
1514	LineageNPC2.br_agathion_pegasus	Branch.br_agathion_pegasus_m00	1	BranchSys.Agathion2.br_agathion_pegasus_t00							0			1	0																								1.00000000	0		0				4	MonSound.Hit_Shell_1	MonSound.Hit_normal_3	MonSound.Hit_Soul_3	MonSound.Hit_normal_12		0						0											0																								0																								LineageEffect.p_u002_a	0	50.00000000	250.00000000	30.00000000	0	0	0									0	0	0	0	-1.00000000	0	a,	0.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	5.00000000	5.00000000	3.75000000	3.75000000	0	0	0	1673	889	-1
1524	LineageNPC2.br_agathion_dryad	Branch.br_aga_dryad_m00	1	BranchSys.Agathion3.br_aga_dryad_t00							0			1	0																								1.00000000	0		0				4	MonSound.Hit_normal_3	MonSound.Hit_normal_12	MonSound.Hit_Normal_10	MonSound.Hit_Stone_3		0						0											0																								0																								LineageEffect.p_u002_a	0	50.00000000	250.00000000	30.00000000	0	0	0									0	0	0	0	-1.00000000	0	a,	0.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	5.00000000	5.00000000	3.75000000	3.75000000	0	0	0	1673	889	-1
1528	LineageNPC2.br_agathion_womanweaver	Branch.br_aga_womanweaver_m00	1	BranchSys.Agathion4.br_aga_womanweaver_t00							0			1	0																								1.00000000	0		0				4	MonSound.Hit_normal_3	MonSound.Hit_normal_12	MonSound.Hit_Normal_10	MonSound.Hit_Stone_3		0						0											0																								0																								LineageEffect.p_u002_a	0	50.00000000	250.00000000	30.00000000	0	0	0									0	0	0	0	-1.00000000	0	a,	0.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	5.00000000	5.00000000	3.75000000	3.75000000	0	0	0	1673	889	-1
1532	LineageNPC2.br_agathion_sunwukong	Branch.br_aga_sunwukong_m00	1	BranchSys.Agathion4.br_aga_sunwukong_t00							0			1	0																								1.00000000	0		0				4	MonSound.Hit_normal_3	MonSound.Hit_normal_12	MonSound.Hit_Normal_10	MonSound.Hit_Stone_3		0						0											0																								0																								LineageEffect.p_u002_a	0	50.00000000	250.00000000	30.00000000	0	0	0									0	0	0	0	-1.00000000	0	a,	0.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	5.00000000	5.00000000	3.75000000	3.75000000	0	0	0	1673	889	-1
1533	LineageNPC2.br_agathion_uthanka	Branch.br_aga_uthanka_m00	1	BranchSys.Agathion4.br_aga_uthanka_t00							0			1	0																								1.00000000	0		0				4	MonSound.Hit_normal_3	MonSound.Hit_normal_12	MonSound.Hit_Normal_10	MonSound.Hit_Stone_3		0						0											0																								0																								LineageEffect.p_u002_a	0	50.00000000	250.00000000	30.00000000	0	0	0									0	0	0	0	-1.00000000	0	a,	0.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	5.00000000	5.00000000	3.75000000	3.75000000	0	0	0	1673	889	-1
1538	LineageNPC2.br_pet_rudolf	Branch.br_rudolf_v00_m00	2	BranchSys.xmas09.br_rudolf_v00_t00	BranchSys.xmas09.br_rudolf_v00_t01						0			1	0																								1.00000000	0		0				4	MonSound.Hit_normal_3	MonSound.Hit_normal_12	MonSound.Hit_Normal_10	MonSound.Hit_Stone_3		0						0											0																								0																								LineageEffect.p_u002_a	0	50.00000000	250.00000000	30.00000000	0	0	0									0	0	0	0	-1.00000000	0	a,	0.00000000	170.00000000	35.00000000	170.00000000	35.00000000	170.00000000	35.00000000	170.00000000	35.00000000	21.50000000	21.50000000	27.00000000	27.00000000	0	0	0	1673	889	-1
1539	LineageNPC2.br_local_JP_Mfighter	Branch.br_local_JP_Mfighter	1	BranchSys.local09.br_local_JP_Mfighter_t00							0			1	0																								1.00000000	0		0				4	MonSound.Hit_normal_3	MonSound.Hit_normal_12	MonSound.Hit_Normal_10	MonSound.Hit_Stone_3		0						0											0																								0																								LineageEffect.p_u002_a	0	50.00000000	250.00000000	30.00000000	0	0	0									0	0	0	0	-1.00000000	0	a,	0.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	5.00000000	5.00000000	3.75000000	3.75000000	0	0	0	1673	889	-1
1540	LineageNPC2.br_local_JP_FFighter	Branch.br_local_JP_FFighter	1	BranchSys.local09.br_local_JP_FFighter_t00							0			1	0																								1.00000000	0		0				4	MonSound.Hit_normal_3	MonSound.Hit_normal_12	MonSound.Hit_Normal_10	MonSound.Hit_Stone_3		0						0											0																								0																								LineageEffect.p_u002_a	0	50.00000000	250.00000000	30.00000000	0	0	0									0	0	0	0	-1.00000000	0	a,	0.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	5.00000000	5.00000000	3.75000000	3.75000000	0	0	0	1673	889	-1
1541	LineageNPC2.br_local_JP_MElf	Branch.br_local_JP_MElf	1	BranchSys.local09.br_local_JP_MElf_t00							0			1	0																								1.00000000	0		0				4	MonSound.Hit_normal_3	MonSound.Hit_normal_12	MonSound.Hit_Normal_10	MonSound.Hit_Stone_3		0						0											0																								0																								LineageEffect.p_u002_a	0	50.00000000	250.00000000	30.00000000	0	0	0									0	0	0	0	-1.00000000	0	a,	0.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	180.00000000	60.00000000	5.00000000	5.00000000	3.75000000	3.75000000	0	0	0	1673	889	-1
